lai_3,lai_4,foto_3,lai_2
3_5___4_5,0_5___1_5,0_75_kg_m2,___6_5
0_5___1_5,0_0___0_5,0_25_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
4_5___5_5,0_5___1_5,1_10_kg_m2,___6_5
3_5___4_5,0_5___1_5,0_75_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
0_0___0_5,0_0___0_5,0_15_kg_m2,0_0___0_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
1_5___2_5,0_0___0_5,0_65_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,1_00_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_80_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_95_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_90_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_55_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,0_65_kg_m2,___6_5
3_5___4_5,0_5___1_5,1_10_kg_m2,5_5___6_5
4_5___5_5,0_5___1_5,1_00_kg_m2,5_5___6_5
0_0___0_5,0_0___0_5,0_05_kg_m2,0_0___0_5
3_5___4_5,0_5___1_5,0_75_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_65_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_80_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_50_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,1_00_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
3_5___4_5,1_5___2_5,0_85_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_80_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_95_kg_m2,4_5___5_5
1_5___2_5,0_0___0_5,0_80_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
4_5___5_5,1_5___2_5,0_85_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
4_5___5_5,1_5___2_5,1_00_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
1_5___2_5,0_0___0_5,0_60_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,0_85_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
4_5___5_5,0_5___1_5,0_85_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_75_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,1_10_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_65_kg_m2,3_5___4_5
4_5___5_5,1_5___2_5,0_90_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_80_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_55_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_35_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
1_5___2_5,0_0___0_5,0_65_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_60_kg_m2,4_5___5_5
4_5___5_5,0_5___1_5,0_80_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_70_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_70_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_55_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,0_80_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_70_kg_m2,3_5___4_5
4_5___5_5,1_5___2_5,1_15_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_90_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_95_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_30_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_70_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_40_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,1_05_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_70_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
0_5___1_5,0_0___0_5,0_35_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_80_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_60_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_70_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_90_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_55_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_70_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_40_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_85_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_70_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
0_0___0_5,0_0___0_5,0_20_kg_m2,0_0___0_5
3_5___4_5,0_5___1_5,0_90_kg_m2,___6_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_80_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
3_5___4_5,0_5___1_5,1_05_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_70_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_70_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_50_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_35_kg_m2,0_5___1_5
3_5___4_5,0_5___1_5,0_85_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
0_5___1_5,0_0___0_5,0_65_kg_m2,1_5___2_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_95_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_70_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_75_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_60_kg_m2,1_5___2_5
4_5___5_5,0_5___1_5,1_00_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_65_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_55_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_75_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_95_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_25_kg_m2,0_0___0_5
1_5___2_5,0_0___0_5,0_85_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_65_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,1_05_kg_m2,5_5___6_5
0_5___1_5,0_0___0_5,0_25_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_90_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_50_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_90_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_50_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,0_85_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_70_kg_m2,1_5___2_5
4_5___5_5,1_5___2_5,1_05_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_75_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,1_00_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_35_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_65_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
5_5___6_5,1_5___2_5,0_90_kg_m2,___6_5
1_5___2_5,0_0___0_5,0_80_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
4_5___5_5,1_5___2_5,1_20_kg_m2,___6_5
3_5___4_5,0_5___1_5,0_70_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_50_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_80_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,1_05_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_70_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_60_kg_m2,0_5___1_5
0_0___0_5,0_0___0_5,0_30_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
4_5___5_5,0_5___1_5,1_10_kg_m2,___6_5
1_5___2_5,0_5___1_5,0_80_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_65_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,1_00_kg_m2,___6_5
3_5___4_5,0_5___1_5,0_95_kg_m2,5_5___6_5
1_5___2_5,0_0___0_5,0_60_kg_m2,2_5___3_5
1_5___2_5,0_0___0_5,0_55_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_60_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_05_kg_m2,0_0___0_5
4_5___5_5,1_5___2_5,0_90_kg_m2,___6_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,1_05_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_75_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_30_kg_m2,2_5___3_5
1_5___2_5,0_0___0_5,0_65_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_10_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
1_5___2_5,0_0___0_5,0_55_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_55_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_80_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_45_kg_m2,0_5___1_5
3_5___4_5,0_5___1_5,0_65_kg_m2,4_5___5_5
1_5___2_5,0_0___0_5,0_75_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_85_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_80_kg_m2,5_5___6_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_70_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_80_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_65_kg_m2,1_5___2_5
4_5___5_5,1_5___2_5,1_15_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_95_kg_m2,___6_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
4_5___5_5,0_5___1_5,1_05_kg_m2,___6_5
1_5___2_5,0_5___1_5,0_85_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_80_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_70_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_55_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_30_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_95_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_70_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_55_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_70_kg_m2,1_5___2_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
4_5___5_5,1_5___2_5,0_90_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_55_kg_m2,2_5___3_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
0_0___0_5,0_0___0_5,0_05_kg_m2,0_0___0_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,1_05_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
1_5___2_5,0_0___0_5,0_65_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_55_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_35_kg_m2,0_5___1_5
3_5___4_5,1_5___2_5,0_80_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_75_kg_m2,___6_5
3_5___4_5,0_5___1_5,1_10_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_65_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
3_5___4_5,0_5___1_5,0_75_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_85_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_70_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_45_kg_m2,0_5___1_5
1_5___2_5,0_5___1_5,0_70_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_90_kg_m2,5_5___6_5
0_5___1_5,0_5___1_5,0_60_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_80_kg_m2,2_5___3_5
5_5___6_5,1_5___2_5,1_00_kg_m2,___6_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
4_5___5_5,1_5___2_5,0_90_kg_m2,5_5___6_5
4_5___5_5,1_5___2_5,1_00_kg_m2,___6_5
1_5___2_5,0_5___1_5,0_55_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_65_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_35_kg_m2,1_5___2_5
0_0___0_5,0_0___0_5,0_15_kg_m2,0_5___1_5
0_5___1_5,0_0___0_5,0_35_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_75_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_45_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,1_00_kg_m2,4_5___5_5
1_5___2_5,0_0___0_5,0_55_kg_m2,2_5___3_5
1_5___2_5,0_5___1_5,0_80_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,1_15_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_80_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_25_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_95_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
4_5___5_5,0_5___1_5,1_10_kg_m2,5_5___6_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
4_5___5_5,1_5___2_5,0_95_kg_m2,___6_5
0_5___1_5,0_0___0_5,0_60_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,1_00_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,1_10_kg_m2,5_5___6_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
3_5___4_5,0_5___1_5,1_00_kg_m2,4_5___5_5
4_5___5_5,1_5___2_5,0_95_kg_m2,___6_5
4_5___5_5,1_5___2_5,1_10_kg_m2,___6_5
2_5___3_5,0_5___1_5,1_00_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_55_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_40_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_70_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_80_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_80_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
1_5___2_5,0_0___0_5,0_65_kg_m2,3_5___4_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_90_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
3_5___4_5,1_5___2_5,0_85_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_85_kg_m2,1_5___2_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
3_5___4_5,0_0___0_5,0_75_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_85_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_85_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_35_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_95_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_85_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_50_kg_m2,1_5___2_5
3_5___4_5,0_5___1_5,1_00_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,0_90_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,1_00_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_35_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_65_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_90_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_85_kg_m2,5_5___6_5
0_5___1_5,0_0___0_5,0_50_kg_m2,0_5___1_5
3_5___4_5,0_5___1_5,0_80_kg_m2,5_5___6_5
3_5___4_5,0_5___1_5,1_00_kg_m2,4_5___5_5
0_5___1_5,0_0___0_5,0_55_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_70_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_60_kg_m2,0_5___1_5
1_5___2_5,0_0___0_5,0_80_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,1_15_kg_m2,5_5___6_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_80_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_95_kg_m2,5_5___6_5
4_5___5_5,0_5___1_5,0_95_kg_m2,5_5___6_5
1_5___2_5,0_5___1_5,0_75_kg_m2,2_5___3_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_90_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_75_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_35_kg_m2,0_5___1_5
2_5___3_5,0_5___1_5,0_95_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_60_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_60_kg_m2,1_5___2_5
0_0___0_5,0_0___0_5,0_00_kg_m2,0_0___0_5
1_5___2_5,0_5___1_5,0_80_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_70_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_65_kg_m2,2_5___3_5
2_5___3_5,0_5___1_5,0_90_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_95_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_95_kg_m2,5_5___6_5
4_5___5_5,1_5___2_5,1_10_kg_m2,___6_5
2_5___3_5,0_5___1_5,0_85_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_95_kg_m2,3_5___4_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
1_5___2_5,0_5___1_5,0_75_kg_m2,3_5___4_5
2_5___3_5,0_5___1_5,1_10_kg_m2,3_5___4_5
1_5___2_5,0_5___1_5,0_80_kg_m2,2_5___3_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
0_5___1_5,0_0___0_5,0_65_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,0_95_kg_m2,3_5___4_5
3_5___4_5,0_5___1_5,0_80_kg_m2,___6_5
0_5___1_5,0_0___0_5,0_45_kg_m2,1_5___2_5
2_5___3_5,0_5___1_5,1_00_kg_m2,4_5___5_5
3_5___4_5,0_5___1_5,0_95_kg_m2,4_5___5_5
1_5___2_5,0_5___1_5,0_55_kg_m2,2_5___3_5
3_5___4_5,0_5___1_5,0_90_kg_m2,4_5___5_5
2_5___3_5,0_5___1_5,0_80_kg_m2,4_5___5_5
0_0___0_5,0_0___0_5,0_10_kg_m2,0_5___1_5
